,train_losses,val_losses,te_losses,train_loss,val_loss,test_loss,train_accs,val_accs,test_accs,train_acc,val_acc,test_acc,exp_name,act,l2,optim,lr,train_batch_size
0,"[2.29831927335715, 2.0009057431281367, 1.8057898901685883, 1.6588357023045988, 1.5243253919142712, 1.3723230663734147, 1.2691725085053263, 1.1705638804013216, 1.0903081614759904, 1.0217180508601515, 0.9604185955433906, 0.9028000658071493, 0.8343414332293257, 0.7832382834410365, 0.7332399125340618, 0.6821972056280209, 0.6517429295219953, 0.5956831913960131, 0.5522179577169539, 0.5086731684358814, 0.4783397264118436, 0.4394355201268498, 0.391480333820174, 0.35080723860595797, 0.3106638385525233, 0.29678048400939266, 0.26003459605235085, 0.22915682630448403, 0.24929220540614067, 0.18857572878463358, 0.18283518432061882, 0.18867215919720975, 0.1510496544121187, 0.13722746036475217, 0.13342883909427666, 0.122283354118655, 0.10321759932403322, 0.08742289226266402, 0.14531975678062137, 0.11178910826580434, 0.08839959071218213, 0.07304120719244209, 0.058201277274874195, 0.09664840274785139, 0.05116089063260374, 0.07651371492332296, 0.05823853162789269, 0.07281180225972887, 0.07131328287569783, 0.07944509266769584]","[2.322308349609375, 1.8739651441574097, 1.7557668447494508, 1.5761382699012756, 1.4416847586631776, 1.3605427742004395, 1.2514788627624511, 1.2394793391227723, 1.1316163539886475, 1.0797359704971314, 1.184896469116211, 1.018746942281723, 0.9249388039112091, 0.9247316658496857, 0.9429924845695495, 1.0073061108589172, 0.956885939836502, 0.9661243855953217, 0.8811419904232025, 0.9554818570613861, 1.0954479455947876, 1.0018643975257873, 1.0446173012256623, 1.0539773881435395, 1.1254577875137328, 1.1326067805290223, 1.261976718902588, 1.3502602934837342, 1.4406335353851318, 1.344110906124115, 1.393336033821106, 1.3293337106704712, 1.5245490550994873, 1.53626309633255, 1.5728579878807067, 1.5891510486602782, 1.6712114214897156, 1.791312611103058, 1.7789861917495728, 1.6494067907333374, 1.6874627113342284, 1.8128628730773926, 1.9253166437149047, 1.6593876719474792, 1.8662015199661255, 1.6731202721595764, 1.7761429786682128, 1.911245310306549, 1.7992833614349366, 1.7370156645774841]","[2.3204334020614623, 1.8671809911727906, 1.7521997690200806, 1.5619252681732179, 1.4373864769935607, 1.3431082606315612, 1.246129560470581, 1.2461336851119995, 1.1319728255271913, 1.0938584208488464, 1.2158990621566772, 1.0323979735374451, 0.941595447063446, 0.9371793031692505, 0.940540361404419, 1.0122213244438172, 0.9468122065067291, 0.9720749914646148, 0.8965369939804078, 0.9716732382774353, 1.0938018023967744, 1.003251188993454, 1.0524100601673125, 1.0819387435913086, 1.1365375161170959, 1.1416738033294678, 1.2718907594680786, 1.3956210970878602, 1.4634518027305603, 1.3966705799102783, 1.4226823329925538, 1.3402778506278992, 1.5437917232513427, 1.5892666459083558, 1.6057077407836915, 1.6245920419692994, 1.7025364756584167, 1.8287415742874145, 1.823902690410614, 1.6679710745811462, 1.7350178241729737, 1.852904725074768, 1.9682353615760804, 1.7117425799369812, 1.9389466881752013, 1.7465525031089784, 1.8706523180007935, 1.938503086566925, 1.8729927778244018, 1.80270859003067]",0.07944509266769584,1.7370156645774841,1.80270859003067,"[11.1325, 19.28, 27.6375, 35.3325, 41.77, 48.77, 53.215, 57.43, 60.27, 63.3475, 65.64, 68.01, 70.4375, 72.11, 74.24, 76.06, 77.075, 79.08, 80.6625, 81.97, 83.275, 84.45, 86.4925, 87.8225, 89.185, 89.59, 90.935, 92.02, 91.38, 93.695, 93.6525, 93.485, 94.7025, 95.405, 95.3525, 95.7175, 96.4525, 97.135, 94.985, 96.0975, 96.8925, 97.5575, 98.0825, 96.6775, 98.29, 97.415, 98.0425, 97.51, 97.5225, 97.325]","[9.07, 23.87, 30.52, 39.8, 46.84, 49.48, 54.15, 55.65, 59.63, 61.89, 59.24, 64.65, 67.72, 67.99, 67.55, 66.14, 69.23, 69.31, 71.11, 70.34, 67.39, 71.11, 69.79, 71.25, 69.91, 70.37, 69.3, 68.79, 68.55, 70.44, 69.44, 70.43, 70.32, 69.68, 70.82, 70.59, 71.25, 68.42, 69.53, 70.93, 71.09, 71.36, 71.47, 71.43, 70.17, 71.05, 70.87, 70.66, 71.01, 70.6]","[8.54, 23.73, 30.23, 39.92, 46.52, 49.96, 54.01, 55.39, 59.09, 61.56, 58.22, 63.97, 67.29, 67.26, 67.85, 66.1, 68.95, 68.9, 70.67, 69.71, 66.53, 70.06, 69.01, 70.23, 69.71, 69.83, 68.98, 67.66, 68.14, 69.59, 68.46, 70.07, 69.99, 68.56, 70.1, 69.64, 69.68, 67.18, 68.37, 69.95, 69.94, 70.26, 70.12, 69.94, 68.62, 69.63, 69.49, 69.75, 69.09, 69.77]",97.325,70.6,69.77,exp1_lr,relu,0.0001,Adam,0.0015,512
0,"[13.957337189324294, 2.303221147271651, 2.3030387781843356, 2.3030691388287123, 2.3029351143897334, 2.303268583515022, 2.302902348433869, 2.302852537058577, 2.302808369262309, 2.3028644127181814, 2.3027923258045053, 2.302873324744309, 2.3028093531161926, 2.3028961827483356, 2.3028184763992887, 2.3028138076202778, 2.3029000970381723, 2.3029279014732262, 2.3117696876767315, 2.302731169929987, 2.3027574321891686, 2.302811670906936, 2.3027796322786354, 2.3027850314031673, 2.3028432990931256, 2.386955704870103, 2.3027282576017742, 2.3027622247044044, 2.3027513178089, 2.3028661782228492, 2.302830587459516, 2.3029078562048415, 2.30284796485418, 2.302829277666309, 2.3028541667551936, 5.91062105456485, 2.397234943848622, 2.199335403080228, 2.1283314182788513, 2.0835579090480563, 2.290951452677763, 2.309282479406912, 2.0318868612941308, 1.8980896638918527, 1.9200178143344349, 1.8285728285584268, 1.7744368254383909, 1.7978128753130949, 1.8337816105613225, 1.6376872937890548]","[2.3404793739318848, 2.3035130500793457, 2.304626703262329, 2.303351354598999, 2.3028743982315065, 2.3026263236999513, 2.3029743671417235, 2.303056001663208, 2.3032227039337156, 2.3026973009109497, 2.303374171257019, 2.302985095977783, 2.3031120538711547, 2.3026882648468017, 2.303032565116882, 2.302988314628601, 2.3027297019958497, 2.3026350259780886, 2.302669548988342, 2.3027255296707154, 2.302901291847229, 2.302933168411255, 2.3029090642929075, 2.302843189239502, 2.3025963306427, 2.3027283430099486, 2.3028096675872805, 2.302809810638428, 2.302912712097168, 2.3026302099227904, 2.3027558088302613, 2.3026177406311037, 2.3029470443725586, 2.302938985824585, 2.302756404876709, 2.303436517715454, 2.702532958984375, 2.1137670040130616, 2.143777871131897, 2.114299249649048, 2.3025825023651123, 2.035687518119812, 1.9525299787521362, 1.9605379462242127, 1.8139926195144653, 1.9907045841217041, 2.0450405359268187, 2.230601692199707, 1.7437315225601195, 1.5908652663230896]","[2.3418272495269776, 2.3031774044036863, 2.3046374559402465, 2.3034843683242796, 2.302959847450256, 2.30266387462616, 2.302869439125061, 2.3029892683029174, 2.30323383808136, 2.302771282196045, 2.303124737739563, 2.302768039703369, 2.302870583534241, 2.30265531539917, 2.302813172340393, 2.3028372526168823, 2.3027350902557373, 2.3025956630706785, 2.3026490449905395, 2.302633023262024, 2.3027931690216064, 2.3027315855026247, 2.302808690071106, 2.3028770208358766, 2.3026038646697997, 2.3026328563690184, 2.3026644468307493, 2.3027104139328003, 2.302775502204895, 2.3026406526565553, 2.3028541088104246, 2.3026819705963133, 2.3028446197509767, 2.3028632164001466, 2.3026774168014525, 2.3031800985336304, 2.6953041315078736, 2.10138943195343, 2.1218917846679686, 2.116012358665466, 2.301503086090088, 2.021398496627808, 1.955494225025177, 1.9430852055549621, 1.8181454300880433, 1.9990894675254822, 2.0536449909210206, 2.268548679351807, 1.7435968041419982, 1.5806182622909546]",1.6376872937890548,1.5908652663230896,1.5806182622909546,"[10.0075, 9.705, 9.59, 9.83, 9.8025, 9.8675, 9.7825, 9.7525, 9.945, 9.605, 9.8675, 9.79, 9.71, 9.725, 9.8375, 9.795, 9.94, 9.79, 9.83, 9.9375, 9.8675, 9.79, 9.9675, 9.715, 9.9225, 9.64, 9.7875, 9.8075, 10.06, 10.0575, 9.68, 10.035, 10.015, 9.7125, 9.7575, 9.82, 10.1075, 15.5975, 17.445, 18.325, 19.605, 15.6025, 21.215, 24.9425, 25.7325, 28.94, 32.0075, 32.4325, 30.8075, 38.35]","[10.16, 9.89, 10.16, 10.08, 10.16, 10.16, 9.98, 10.06, 9.98, 9.98, 9.89, 9.69, 9.69, 9.92, 9.89, 9.92, 10.06, 9.69, 10.06, 9.69, 9.89, 9.69, 10.16, 10.08, 9.92, 9.69, 9.69, 9.92, 10.16, 10.08, 10.08, 9.98, 9.98, 10.06, 10.06, 9.89, 10.16, 18.66, 16.93, 15.63, 10.16, 21.36, 22.32, 24.05, 28.52, 24.37, 28.3, 29.45, 36.27, 39.06]","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 19.18, 17.96, 15.61, 10.0, 22.32, 22.14, 24.57, 28.55, 23.81, 27.1, 29.03, 36.58, 39.99]",38.35,39.06,39.99,exp1_lr,relu,0.0001,RMSprop,0.0015,512
0,"[2.3036038483245465, 2.302864539472363, 2.30266581909566, 2.302662704564348, 2.3026465735858, 2.302647530278073, 2.3026551989060415, 2.302673587316199, 2.3026386393776423, 2.3026949906650978, 2.3026890754699707, 2.3026755701137493, 2.302664171291303, 2.3026721900022484, 2.3026483481443383, 2.302665541443644, 2.302669341051126, 2.3026604410968248, 2.302715041969396, 2.302743413780309, 2.3026680191860924, 2.3026663110226013, 2.3026805195627333, 2.3026514475858666, 2.3026518882075444, 2.302681261980081, 2.3026596956615206, 2.302719559850572, 2.302721029595484, 2.3026748216604886, 2.3026816120630578, 2.3027185367632517, 2.302652380134486, 2.302662514433076, 2.302656270280669, 2.3026379180859915, 2.3027343689640865, 2.3026743931106375, 2.3026708711551716, 2.30270628385906, 2.3027490664132033, 2.3027480040924457, 2.30265736579895, 2.3026491690285598, 2.302735235117659, 2.3026516467710083, 2.302687267713909, 2.3026468482198594, 2.3027032840101023, 2.302671842937228]","[2.3025779724121094, 2.3026267766952513, 2.3026159524917604, 2.3026744604110716, 2.3026554346084596, 2.302660822868347, 2.3028071403503416, 2.30265736579895, 2.302698516845703, 2.3026851415634155, 2.3026995182037355, 2.3026846647262573, 2.3026445388793944, 2.302617835998535, 2.3026374340057374, 2.3028112173080446, 2.302616500854492, 2.302661919593811, 2.3027832746505736, 2.3026700258255004, 2.3026278734207155, 2.302655053138733, 2.3026655435562136, 2.302656126022339, 2.302638578414917, 2.3026835203170775, 2.3026491165161134, 2.3026771545410156, 2.3026798963546753, 2.3026612758636475, 2.30263729095459, 2.3026421546936033, 2.3026362895965575, 2.302649450302124, 2.302640438079834, 2.302656102180481, 2.3026082515716553, 2.302649188041687, 2.3026700973510743, 2.3026501178741454, 2.3026856184005737, 2.3027741432189943, 2.30265736579895, 2.3026551723480226, 2.302649736404419, 2.3026789903640745, 2.3026716232299806, 2.3026692628860475, 2.3026798725128175, 2.302672839164734]","[2.302645969390869, 2.3026017904281617, 2.302593207359314, 2.3026081800460814, 2.3026020765304565, 2.3026010513305666, 2.3026644945144654, 2.3025973558425905, 2.3026078224182127, 2.3026068925857546, 2.3026113271713258, 2.3026066064834594, 2.302599382400513, 2.3025907039642335, 2.302596426010132, 2.302660012245178, 2.3025960445404055, 2.302620530128479, 2.30270676612854, 2.302606391906738, 2.302590584754944, 2.302599334716797, 2.30259964466095, 2.302596378326416, 2.302594232559204, 2.302604651451111, 2.3025988578796386, 2.3026143074035645, 2.3026089906692504, 2.3026010990142822, 2.3025917291641234, 2.3025949716567995, 2.3025951385498047, 2.3026050090789796, 2.302604246139526, 2.3026055812835695, 2.3025906562805174, 2.3025993585586546, 2.3026052713394165, 2.3025991439819338, 2.302607464790344, 2.302689027786255, 2.3026010751724244, 2.302600455284119, 2.3025988817214964, 2.3026040315628054, 2.3026034355163576, 2.302603030204773, 2.30261287689209, 2.3026033639907837]",2.302671842937228,2.302672839164734,2.3026033639907837,"[9.8925, 9.7075, 9.7725, 9.9125, 10.0025, 9.7225, 9.7275, 9.665, 9.955, 10.0775, 9.6825, 9.8, 9.9575, 9.995, 9.6725, 9.9375, 9.9875, 9.79, 10.07, 9.72, 9.9325, 9.82, 9.9425, 9.925, 9.9875, 10.0025, 9.8225, 9.995, 9.7025, 9.9225, 9.935, 9.8625, 10.015, 9.9125, 9.9375, 9.89, 9.785, 9.76, 9.955, 9.8275, 9.9775, 9.77, 9.575, 9.915, 9.5125, 9.9675, 10.0125, 9.8475, 9.935, 9.815]","[10.29, 9.98, 10.01, 9.69, 10.01, 9.89, 9.69, 9.69, 9.69, 9.69, 9.69, 9.69, 9.89, 9.89, 9.89, 9.69, 9.92, 10.01, 9.92, 9.98, 9.69, 9.69, 9.69, 9.69, 9.69, 9.69, 9.69, 9.89, 9.92, 9.69, 9.69, 9.92, 9.69, 9.69, 9.92, 9.69, 9.89, 9.92, 9.69, 9.69, 9.69, 10.01, 9.69, 9.69, 9.69, 9.69, 9.89, 9.69, 9.92, 9.69]","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",9.815,9.69,10.0,exp1_lr,relu,0.001,Adam,0.0015,512
0,"[11.569377500799638, 2.3263052867937692, 2.3029808032361765, 2.3027584824380996, 2.302730294722545, 2.302688643902163, 2.302714221085174, 2.3027185880685153, 2.302722263939773, 2.3027435284626634, 2.302875838702238, 2.3028002811383597, 2.3028067757811725, 2.302864983111997, 2.3027466429939754, 2.302807708329792, 2.302873321726352, 2.3027897213078754, 2.3027039630503596, 2.3027573265606844, 2.302755105344555, 2.3027143750009658, 2.302810303772552, 2.303042810174483, 2.302797284307359, 2.3027906146230577, 2.304619493363779, 2.3028708922712107, 2.302761111078383, 2.3027641773223877, 2.302772295625904, 2.3028232176092605, 2.3028159775311434, 2.3028684929956365, 2.302712039102482, 2.3028026502343675, 2.3028227196464055, 2.3027260786370385, 2.302870183051387, 2.302761099006556, 2.302826326104659, 2.302749775633027, 2.3027729776841177, 2.3027536627612535, 2.3027838151666185, 2.302796478512921, 92.62465615815753, 2.2625970538658433, 2.0938766213911997, 2.0574739175506784]","[2.3026984691619874, 2.3048818826675417, 2.3027950048446657, 2.302612471580505, 2.302674150466919, 2.302733373641968, 2.3027265548706053, 2.302665662765503, 2.30265417098999, 2.303363251686096, 2.302991437911987, 2.3029273748397827, 2.302723264694214, 2.3026583671569822, 2.30348424911499, 2.3071741342544554, 2.3025230884552004, 2.3026376485824587, 2.3030619859695434, 2.3026779174804686, 2.30268235206604, 2.302686166763306, 2.302665615081787, 2.3032737493515016, 2.302741527557373, 2.302758288383484, 2.3102652788162232, 2.3026485681533813, 2.3037941455841064, 2.3027833700180054, 2.3026633977890016, 2.3026350498199464, 2.3040155172348022, 2.302690529823303, 2.3027647733688354, 2.304857683181763, 2.3027270555496218, 2.303886580467224, 2.302699255943298, 2.3025936603546144, 2.302799105644226, 2.3027896642684937, 2.3026681900024415, 2.302808380126953, 2.3041568756103517, 2.350060319900513, 2.1607473134994506, 2.1286952257156373, 2.1268539667129516, 2.3138783454895018]","[2.3030338287353516, 2.304623579978943, 2.302691435813904, 2.3026554107666017, 2.302632284164429, 2.302655029296875, 2.302628493309021, 2.302605485916138, 2.3025991201400755, 2.303195285797119, 2.30293071269989, 2.3027891635894777, 2.3027299642562866, 2.3026456117630003, 2.3035027027130126, 2.307004475593567, 2.302612376213074, 2.3026038885116575, 2.3029367923736572, 2.3026125192642213, 2.3026110410690306, 2.3026112794876097, 2.302607846260071, 2.303376817703247, 2.3026997566223146, 2.3026571035385133, 2.310493493080139, 2.302751970291138, 2.3039687871932983, 2.3027432441711424, 2.3026060342788695, 2.3025982856750487, 2.304001474380493, 2.302622652053833, 2.3027478456497192, 2.3043177127838135, 2.3026357173919676, 2.303744149208069, 2.3026929616928102, 2.302654504776001, 2.3027188062667845, 2.302798295021057, 2.3026120901107787, 2.3028392791748047, 2.3040741443634034, 2.350272297859192, 2.1444164991378782, 2.115633320808411, 2.112686109542847, 2.303395175933838]",2.0574739175506784,2.3138783454895018,2.303395175933838,"[9.985, 9.995, 10.17, 9.9675, 9.76, 9.89, 9.935, 9.5125, 9.895, 9.75, 9.8175, 9.7425, 9.875, 9.79, 9.7875, 9.7575, 9.7325, 9.6175, 9.8075, 9.575, 10.07, 10.0, 10.03, 10.0575, 10.0775, 10.0025, 10.1225, 9.8575, 10.0275, 9.8475, 9.7825, 9.845, 9.8425, 10.035, 9.9675, 9.6725, 9.9075, 10.085, 9.7975, 9.83, 9.965, 9.64, 9.9375, 10.1225, 9.8025, 9.97, 12.9525, 14.82, 18.7225, 19.3]","[10.01, 9.92, 9.92, 10.16, 9.92, 10.01, 9.69, 9.89, 9.69, 9.92, 10.01, 9.69, 10.01, 10.01, 9.89, 10.08, 10.29, 9.92, 9.92, 9.69, 9.69, 9.69, 9.98, 10.01, 9.92, 9.92, 10.01, 10.06, 10.06, 9.92, 9.69, 9.69, 9.92, 9.69, 9.89, 9.69, 9.69, 9.92, 9.92, 9.98, 9.98, 9.89, 10.01, 9.98, 9.92, 10.01, 16.88, 16.73, 16.27, 12.71]","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 17.41, 17.17, 16.83, 13.09]",19.3,12.71,13.09,exp1_lr,relu,0.001,RMSprop,0.0015,512
