year,month,volumn
2013,4,1143.85
2013,5,1101.1
2013,6,1101.75
2013,7,1109.16
2013,8,1204.31
2013,9,1266.2
2013,10,1408.15
2013,11,1459.41
2013,12,1478.89
2014,1,1254.8
2014,2,1247.41
2014,3,1212.85
2014,4,1116.05
2014,5,1060.89
2014,6,1072.39
2014,7,1057.14
2014,8,1176.96
2014,9,1282.41
2014,10,1437.2
2014,11,1548.74
2014,12,1542.63
2015,1,1319.43
2015,2,1306.89
2015,3,1278.31
2015,4,1212.76
2015,5,1161.36
2015,6,1210.01
2015,7,1233.95
2015,8,1390.84
2015,9,1390.76
2015,10,1520.93
2015,11,1494.21
2015,12,1442.85
2016,1,1302.05
2016,2,1297.57
2016,3,1295.3
2016,4,1243.41
2016,5,1224.98
2016,6,1228.85
2016,7,1235.41
2016,8,1256.37
2016,9,1311.83
2016,10,1428.6
2016,11,1402.12
2016,12,1397.44
2017,1,1313.6
2017,2,1361.59
2017,3,1262.69
2017,4,1289.15
2017,5,1223.05
2017,6,1250.43
2017,7,1231.03
2017,8,1368.74
